Category, Type, Name, Info, Describe, API_List, Source
"Activity lifecycle","Change (all apps)","Root launcher activities are no longer finished on Back press","The system Back button now moves an activity to the background instead of finishing it.","The system Back button now moves an activity to the background instead of finishing it. This change affects how the back button behaves in root launcher activities, providing more consistent behavior across the system.","[]","https://developer.android.com/about/versions/12/behavior-changes-all#back-press"
"Backup and restore","Change (apps targeting 12+)","Changes in backup and restore","Include/exclude rules are now specified separately for Google Drive and D2D backups.","Include/exclude rules are now specified separately for Google Drive and D2D backups. This change provides more granular control over backup behavior for different backup types.","[]","https://developer.android.com/about/versions/12/behavior-changes-12#backup-restore"
"Camera","New features and APIs","Camera2 vendor extensions","OEM-provided custom camera effects are now exposed directly in the platform.","OEM-provided custom camera effects are now exposed directly in the platform. This feature allows apps to access and utilize device-specific camera capabilities and effects provided by OEMs.","['Camera2']","https://developer.android.com/about/versions/12/features#camera2-extensions"
"Camera","New features and APIs","Quad bayer camera sensor support","New platform APIs provide support for ultra high-resolution camera sensors.","New platform APIs provide support for ultra high-resolution camera sensors. This enhancement enables apps to take advantage of advanced camera hardware capabilities, particularly for devices with quad bayer sensors.","[]","https://developer.android.com/about/versions/12/features#camera-sensor-support"
"Graphics and images","Change (all apps)","Improved refresh rate switching","The refresh rate can now be changed even when the display doesn't support a seamless transition.","The refresh rate can now be changed even when the display doesn't support a seamless transition. This improvement enables more flexible refresh rate management across different display types.","[]","https://developer.android.com/about/versions/12/behavior-changes-all#refresh-rate"
"Graphics and images","New features and APIs","AVIF image support","Android 12 introduces support for the AVIF image format, providing better image quality at the same file size.","Android 12 introduces support for the AVIF image format, providing better image quality at the same file size. This format offers improved compression efficiency compared to older formats.","[]","https://developer.android.com/about/versions/12/features#avif"
"Graphics and images","New features and APIs","Easier blurs, color filters, and other effects","A new API makes it easier to apply common graphics effects to views and rendering hierarchies.","A new API makes it easier to apply common graphics effects to views and rendering hierarchies. This enhancement simplifies the implementation of visual effects in applications.","['RenderEffect']","https://developer.android.com/about/versions/12/features#rendereffect"
"Media","New features and APIs","Compatible media transcoding","Videos encoded in modern formats can now be converted automatically for playback in apps that do not support those formats.","Videos encoded in modern formats can now be converted automatically for playback in apps that do not support those formats. This feature improves compatibility and user experience when dealing with different video formats.","[]","https://developer.android.com/guide/topics/media-apps/video-app/compatible-media-transcoding"
"Media","New features and APIs","Performance class","Performance classes provide a simplified expression of device capabilities that can be used to provide tailored experiences.","Performance classes provide a simplified expression of device capabilities that can be used to provide tailored experiences. This allows apps to optimize their functionality based on device performance capabilities.","[]","https://developer.android.com/topic/performance/performance-class"
"Media","New features and APIs","Audio focus","Android now enforces a fade-out when an app that's playing audio loses audio focus.","Android now enforces a fade-out when an app that's playing audio loses audio focus. This change improves the audio transition experience when switching between different audio sources.","['AudioManager']","https://developer.android.com/about/versions/12/features#audio-focus"
"Security and privacy","Change (all apps)","Microphone and camera toggles","Supported devices allow users to enable or disable microphone and camera access for all apps with a single toggle option.","Supported devices allow users to enable or disable microphone and camera access for all apps with a single toggle option. This change gives users more control over their privacy and helps prevent unauthorized access to sensitive hardware.","[]","https://developer.android.com/about/versions/12/behavior-changes-all#mic-camera-toggles"
"Security and privacy","New features and APIs","Privacy Dashboard","Android 12 introduces a new system settings screen that shows access history for location, camera, and microphone data.","Android 12 introduces a new system settings screen that shows access history for location, camera, and microphone data. This feature provides users with transparency about how apps are accessing sensitive data and hardware on their device.","[]","https://developer.android.com/about/versions/12/features#privacy-dashboard"
"Security and privacy","Change (all apps)","Clipboard access notifications","Android 12 shows a toast message whenever an app accesses clipboard content that it did not create.","Android 12 shows a toast message whenever an app accesses clipboard content that it did not create. This change improves transparency and helps users understand when their clipboard data is being accessed by applications.","[]","https://developer.android.com/about/versions/12/behavior-changes-all#clipboard-access"
"Storage","New features and APIs","New directory for voice recordings","Android 12 introduces a new directory to store and identify voice recordings.","Android 12 introduces a new directory to store and identify voice recordings. This addition provides a standardized location for storing voice recordings and helps with media organization.","[]","https://developer.android.com/training/data-storage/shared/media#well-defined-collections"
"Storage","New features and APIs","Media management access","Android 12 introduces a new permission that allows apps to move, modify, and delete files without showing a confirmation dialog each time.","Android 12 introduces a new permission that allows apps to move, modify, and delete files without showing a confirmation dialog each time. This feature streamlines media management operations while maintaining user control over file access.","[]","https://developer.android.com/training/data-storage/shared/media#management-permission"
"UX","Change (all apps)","App splash screens","Apps that previously implemented a custom splash screen must now migrate to the new SplashScreen API.","Apps that previously implemented a custom splash screen must now migrate to the new SplashScreen API. This change provides a more consistent launch experience across all apps and improves the user experience during app startup.","['SplashScreen']","https://developer.android.com/about/versions/12/behavior-changes-all#splash-screen"
"UX","Change (all apps)","All apps in multi-window mode","Multi-window mode is now standard behavior on devices with large screens.","Multi-window mode is now standard behavior on devices with large screens. This change improves multitasking capabilities and user experience on larger devices like tablets and foldables.","[]","https://developer.android.com/about/versions/12/behavior-changes-all#multi-window"
"UX","Change (apps targeting 12+)","Custom notifications","Android 12 enforces visually consistent layout templates for custom notifications.","Android 12 enforces visually consistent layout templates for custom notifications. This change ensures a more uniform and predictable notification experience across all apps.","[]","https://developer.android.com/about/versions/12/behavior-changes-12#custom-notifications"
